,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,3.275154388372528,42.245649054956026,8.912731582558793,43.6631526417566,28.87779926392614,33.14777618364419,25.451687355748238,7.424115775684611,10.187012662965504,23.839810367413136
pyridazine,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
pyrimidine,100.0,7.752643080739471,,21.097395310377415,100.0,68.35686019727127,78.4643553245526,60.246884413206544,17.573681412793103,24.113755832496604,56.43139802728723
pyrazine,100.0,36.746920492721166,100.0,,100.0,100.0,100.0,100.0,83.29787234042553,100.0,100.0
pyrrole,100.0,7.500957192084165,96.75354732529101,20.41247835602974,,66.13768708104988,75.9170471624255,58.29099782274517,17.003160162522644,23.330914161299724,54.59937939665469
pyrazole,100.0,11.341426534756124,100.0,30.863610835097422,100.0,,100.0,88.13582753704584,25.70873115306519,35.276277703374085,82.55411068388993
imidazole,100.0,9.880464892207636,100.0,26.887871853546912,100.0,87.1183608334337,,76.7824882572564,22.397025171624712,30.732114898229558,71.91978802842345
thiazole,100.0,12.86812281871299,100.0,35.01823457903612,100.0,100.0,100.0,,29.169444335516253,40.02490098427513,93.66691502294027
oxazole,100.0,44.115076964441755,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0
isoxazole,100.0,32.15029269845935,100.0,87.49112107183971,100.0,100.0,100.0,100.0,72.87824233962819,,100.0
furan,100.0,13.738172988361383,100.0,37.38591643640626,100.0,100.0,100.0,100.0,31.14167294649586,42.73109771414217,
